EMPLOYER	JOB TITLE	BASE SALARY	LOCATION	SUBMIT DATE	START DATE
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	125,000	DURHAM, NC	07/31/2023	08/21/2023
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	130,000	DURHAM, NC	09/01/2023	10/02/2023
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	130,000	WESTLAKE, TX	02/24/2023	03/20/2023
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	130,000	DURHAM, NC	03/14/2023	04/10/2023
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	130,000	DURHAM, NC	01/03/2023	02/06/2023
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	135,000	DURHAM, NC	08/18/2023	09/18/2023
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	135,000	WESTLAKE, TX	08/24/2023	09/18/2023
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	136,000	DURHAM, NC	08/15/2023	09/18/2023
INFORMATION TECHNOLOGY AND MANAGEMENT CONSULTING INC	QA AUTOMATION TESTER	138,590	LOS GATOS, CA	05/30/2023	10/01/2023
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	140,000	WESTLAKE, TX	04/14/2023	05/08/2023
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	140,000	BOSTON, MA	08/04/2023	09/05/2023
COMPUNNEL SOFTWARE GROUP INC	QA AUTOMATION TESTER	150,000	SAN FRANCISCO, CA	03/17/2023	03/18/2023
AAA GLOBAL TECHNOLOGIES LLC	QA AUTOMATION TESTER II	90,000	GOSHEN, KY	02/08/2023	02/08/2023
NAVINTA LLC	QA CHEMIST	84,000	EWING, NJ	04/13/2023	10/01/2023
ACCUON LABS INC	QA CHEMIST	85,000	HAUPPAUGE, NY	06/02/2023	06/12/2023
PENN LIFE SCIENCES LLC	QA CHEMIST	110,000	LANGHORNE, PA	03/23/2023	09/15/2023
PENN LIFE SCIENCES LLC	QA CHEMIST	120,000	LANGHORNE, PA	03/20/2023	09/15/2023
RARITAN PHARMACEUTICALS INC	QA CHEMIST	120,000	EAST BRUNSWICK, NJ	06/21/2023	07/03/2023
ALLURE LABS LLC	QA CHEMIST I	75,000	HAYWARD, CA	05/23/2023	10/01/2023
COMCAST CABLE COMMUNICATIONS LLC	QA CLIX LAB MANAGER	130,640	WEST CHESTER, PA	09/21/2023	10/02/2023
RISING PHARMA HOLDINGS INC	QA COMPLIANCE -SENIOR MANAGER	132,500	EAST BRUNSWICK, NJ	09/11/2023	09/18/2023
RISING PHARMA HOLDINGS INC	QA COMPLIANCE MANAGER	137,500	EAST BRUNSWICK, NJ	07/05/2023	07/12/2023
LONZA BIOLOGICS INC	QA COMPUTER SYSTEM VALIDATION SPECIALIST LEVEL 3	85,000	PORTSMOUTH, NH	06/14/2023	06/19/2023
LONZA BIOLOGICS INC	QA COMPUTER SYSTEMS VALIDATION SPEC LVL 2	70,000	PORTSMOUTH, NH	02/15/2023	02/22/2023
LONZA BIOLOGICS INC	QA COMPUTER SYSTEMS VALIDATION SPEC LVL 2	70,000	PORTSMOUTH, NH	02/15/2023	02/15/2023
LONZA BIOLOGICS INC	QA COMPUTER SYSTEMS VALIDATION SPECIALIST LEVEL 3	85,000	PORTSMOUTH, NH	03/17/2023	03/27/2023
STRATEGIC STAFFING SOLUTIONS LC	QA CONSULTANT	102,000	FARMINGTON, MI	02/02/2023	02/15/2023
VIKI TECHNOLOGIES LLC	QA CONSULTANT	104,000	DETROIT, MI	03/30/2023	04/17/2023
ACCENZ LLC	QA CONSULTANT	67,829	DETROIT, MI	02/13/2023	06/01/2023
IMR SOFT LLC	QA CONSULTANT	74,381	RICHARDSON, TX	06/06/2023	06/06/2023
ALLIED INFORMATICS INC	QA CONSULTANT	86,700	BETHESDA, MD	06/26/2023	10/01/2023
IPIVOT LLC	QA CONSULTANT	89,211	MIAMI, FL	07/05/2023	07/10/2023
IMR SOFT LLC	QA CONSULTANT	91,000	RICHARDSON, TX	06/08/2023	06/08/2023
VRIZE INC	QA CONSULTANT	92,602	MANCHESTER, CT	08/30/2023	09/07/2023
RENOTEK SOLUTIONS LLC	QA CONSULTANT	97,053	PISCATAWAY, NJ	06/01/2023	06/09/2023
IPIVOT LLC	QA CONSULTANT	120,000	MIAMI, FL	08/15/2023	08/21/2023
IKON-TECH SERVICES LLC	QA CONTROL ANALYST	90,000	AUSTIN, TX	07/05/2023	07/06/2023
EVEREST TECH INC	QA DATA ANALYST	94,016	CHICAGO, IL	01/12/2023	01/18/2023
COMET TECHNOLOGIES USA INC	QA DATA ENGINEER	102,000	SAN JOSE, CA	09/18/2023	10/01/2023
KINDERCARE EDUCATION LLC	QA DATA ENGINEER	120,000	NORTHLAKE, TX	06/18/2023	07/03/2023
HEALTH CATALYST INC	QA DATA VALIDATOR	69,300	HOUSTON, TX	05/12/2023	10/01/2023
GEORGIA IT INC	QA DATABASE MANAGEMENT	99,549	ALPHARETTA, GA	09/20/2023	10/01/2023
RAND WHITNEY CONTAINER LLC	QA DEVELOPER	95,000	WORCESTER, MA	07/17/2023	07/24/2023
SRI TECH SOLUTIONS INC	QA DEVELOPER	98,904	DALLAS, TX	06/23/2023	07/11/2023
VENSOFT INC	QA DEVELOPER SOFTWARE DEVELOPMENT ENGINEER IN TEST	95,139	PHOENIX, AZ	05/08/2023	10/01/2023
NUMERIC TECHNOLOGIES INC	QA DEVOPS MANAGER	130,000	CALHOUN, GA	02/17/2023	02/17/2023
POPULUS GROUP LLC	QA DIRECTOR	97,000	HAWTHORNE WOODS, IL	01/20/2023	02/06/2023
RABBIT 3 TIMES INC	QA DIRECTOR	121,285	NEW YORK, NY	08/22/2023	10/01/2023
CONNECTING TALENT 2 OPPORTUNITY LLC	QA DOCUMENTATION SPECIALIST	72,800	BOSTON, MA	05/26/2023	10/01/2023
T2 BIOSYSTEMS INC	QA DOCUMENTATION SPECIALIST	75,000	LEXINGTON, MA	06/08/2023	10/01/2023
WINSAI LLC	QA ENGINEER	67,820	DEERFIELD BEACH, FL	08/28/2023	09/04/2023
SUBSTANBO INC	QA ENGINEER	71,560	LYNNWOOD, WA	04/05/2023	09/30/2023
SUBSTANBO INC	QA ENGINEER	71,560	LYNNNWOOD, WA	04/13/2023	09/30/2023
VALIANT TEK GROUP INC	QA ENGINEER	72,000	LIVE OAK, TX	06/09/2023	06/19/2023
OPTIVENT GROUP INC	QA ENGINEER	75,920	CHICAGO, IL	03/27/2023	08/03/2023
OPTIVENT GROUP INC	QA ENGINEER	75,920	CHICAGO, IL	04/04/2023	04/11/2023
DENKEN SOLUTIONS INC	QA ENGINEER	76,000	CHICAGO, IL	02/07/2023	02/15/2023
KPK TECHNOLOGIES INC	QA ENGINEER	76,580	AUSTIN, TX	09/15/2023	01/01/2024
ENCORE CONSULTING SERVICES INC	QA ENGINEER	80,000	CHICAGO, IL	01/04/2023	03/01/2023
TEKSKILLS INC	QA ENGINEER	80,060	CUMBERLAND, RI	03/16/2023	03/27/2023
AMENSYS INC	QA ENGINEER	84,000	FRISCO, TX	06/02/2023	10/01/2023
AMENSYS INC	QA ENGINEER	84,000	FRISCO, TX	06/05/2023	06/05/2023
PRO-TEK CONSULTING	QA ENGINEER	92,000	IRVING, TX	05/08/2023	06/01/2023
DENKEN SOLUTIONS INC	QA ENGINEER	94,000	LEWISVILLE, TX	01/25/2023	02/02/2023
DVG TECH SOLUTIONS LLC	QA ENGINEER	95,720	BASKING RIDGE, NJ	09/12/2023	09/20/2023
IP HEIGHTS LLC	QA ENGINEER	97,520	CARY, NC	04/06/2023	04/06/2023
IP HEIGHTS LLC	QA ENGINEER	97,520	CARY, NC	04/13/2023	04/17/2023
QUANTUMSOFT SOLUTIONS INC	QA ENGINEER	130,000	FREMONT, CA	08/02/2023	10/01/2023
DVG TECH SOLUTIONS LLC	QA ENGINEER	132,320	BASKING RIDGE, NJ	08/31/2023	09/08/2023
COMMIITT LLC	QA ENGINEER	60,000	GREENSBORO, NC	08/02/2023	08/07/2023
UPWARD SYSTEMS INC	QA ENGINEER	60,000	KATY, TX	06/19/2023	10/01/2023
AGRATA SOLUTIONSLLC	QA ENGINEER	60,861	LAFAYATTE, LA	09/19/2023	10/01/2023
PROWISE SOLUTIONS INC	QA ENGINEER	61,381	AMERICAN FORK, UT	09/18/2023	09/29/2023
AMERICAN TECH VISION SOLUTIONS LLC	QA ENGINEER	64,000	SCOTTSDALE, AZ	06/09/2023	06/14/2023
BROADRANGE TECHNOLOGIES INC	QA ENGINEER	65,000	AUSTIN, TX	01/24/2023	01/31/2023
BROADRANGE TECHNOLOGIES INC	QA ENGINEER	65,000	AUSTIN, TX	02/22/2023	03/01/2023
CHADWICK RILEY CORPORATION	QA ENGINEER	65,291	JACKSONVILLE, FL	04/11/2023	10/01/2023
CHADWICK RILEY CORPORATION	QA ENGINEER	65,291	JACKSONVILLE, FL	04/11/2023	10/01/2023
CHADWICK RILEY CORPORATION	QA ENGINEER	65,291	JACKSONVILLE, FL	04/18/2023	04/25/2023
CHADWICK RILEY CORPORATION	QA ENGINEER	65,291	JACKSONVILLE, FL	04/19/2023	04/25/2023
LOGIC LOOPS LLC	QA ENGINEER	65,291	JACKSONVILLE, FL	06/19/2023	06/27/2023
CHADWICK RILEY CORPORATION	QA ENGINEER	65,291	JACKSONVILLE, FL	06/20/2023	10/01/2023
ENTERPRISE MOBILITY INC	QA ENGINEER	66,000	TRACY, CA	06/16/2023	10/01/2023
ENTERPRISE MOBILITY INC	QA ENGINEER	66,000	TRACY, CA	06/20/2023	06/26/2023
IDATALYTICS LLC	QA ENGINEER	66,250	OVERLAND PARK, KS	07/13/2023	07/24/2023
VALUEPRO INC	QA ENGINEER	67,392	FREDERICK, MD	06/12/2023	10/01/2023
VALUEPRO INC	QA ENGINEER	67,392	FREDERICK, MD	06/12/2023	10/01/2023
VALUEPRO INC	QA ENGINEER	67,392	FREDERICK, MD	06/12/2023	10/01/2023
PYRAMID TECHNOLOGY SOLUTIONS INC	QA ENGINEER	68,682	INDIANAPOLIS, IN	06/09/2023	10/01/2023
NEXZENTEK SOLUTIONS INC	QA ENGINEER	68,765	BLOOMINGTON, IL	08/25/2023	09/05/2023
SYNAPSE TECH SERVICES INC	QA ENGINEER	69,659	COLUMBUS, OH	09/22/2023	10/01/2023
SAI GLOBAL SOLUTIONS INC	QA ENGINEER	70,000	ATLANTA, GA	09/01/2023	09/01/2023
MPG OPERATIONS LLC	QA ENGINEER	70,533	MIAMI, FL	09/22/2023	10/02/2023
PYRAMID TECHNOLOGY SOLUTIONS INC	QA ENGINEER	70,574	TEMECULA, CA	03/30/2023	04/06/2023
BLOSSOM TECH INC	QA ENGINEER	71,595	CHATTANOOGA, TN	06/14/2023	10/01/2023
BLOSSOM TECH INC	QA ENGINEER	71,595	CHATTANOOGA, TN	06/14/2023	10/01/2023
BLOSSOM TECH INC	QA ENGINEER	71,595	CHATTANOOGA, TN	06/14/2023	10/01/2023
BLOSSOM TECH INC	QA ENGINEER	71,595	CHATTANOOGA, TN	06/14/2023	10/01/2023
BLOSSOM TECH INC	QA ENGINEER	71,595	CHATTANOOGA, TN	06/14/2023	10/01/2023
TSQS INC	QA ENGINEER	72,000	OVERLAND PARK, KS	05/11/2023	10/01/2023
MERIDIAN SOFTWARE SOLUTIONS INC	QA ENGINEER	72,000	ATLANTA, GA	05/12/2023	05/12/2023
TSQS INC	QA ENGINEER	72,000	OVERLAND PARK, KS	08/25/2023	10/01/2023
OTIS TECHNOLOGY LLC	QA ENGINEER	72,500	O FALLON, MO	09/05/2023	10/01/2023
SAICON CONSULTANTS INC	QA ENGINEER	73,320	OMAHA, NE	09/21/2023	10/09/2023
TSQS INC	QA ENGINEER	74,000	OVERLAND PARK, KS	05/11/2023	10/01/2023
CHADWICK RILEY CORPORATION	QA ENGINEER	74,277	JACKSONVILLE, FL	09/13/2023	10/01/2023
INTELIROUTE TECHNOLOGIES LLC	QA ENGINEER	74,381	IRVING, TX	04/17/2023	10/01/2023
PROLIFICS INC	QA ENGINEER	74,381	IRVING, TX	04/24/2023	10/01/2023
TEKREANT INC	QA ENGINEER	74,381	IRVING, TX	04/24/2023	10/01/2023
TEKORG INC	QA ENGINEER	74,381	DALLAS, TX	06/27/2023	08/03/2023
CORPORATE SOLUTIONS GENERAL INC	QA ENGINEER	74,381	HASLET, TX	06/26/2023	07/03/2023
PYRAMID TECHNOLOGY SOLUTIONS INC	QA ENGINEER	74,381	FRISCO, TX	05/10/2023	10/01/2023
PYRAMID TECHNOLOGY SOLUTIONS INC	QA ENGINEER	74,381	FRISCO, TX	06/05/2023	10/01/2023
NOBLESOFT TECHNOLOGIES INC	QA ENGINEER	74,381	FLOWER MOUND, TX	06/08/2023	10/01/2023
AMERICAN ANALYST INC	QA ENGINEER	74,381	ARLINGTON, TX	06/09/2023	10/01/2023
MOTIVITY LABS INC	QA ENGINEER	74,381	DALLAS, TX	06/13/2023	10/01/2023
VALIANT TEK GROUP INC	QA ENGINEER	74,381	LIVE OAK, TX	06/15/2023	10/01/2023
MAHAUGHA LLC	QA ENGINEER	74,776	CHANDLER, AZ	08/16/2023	11/06/2023
EMERGTECH BUSINESS SOLUTIONS INC	QA ENGINEER	75,000	FARMINGTON HILLS, MI	09/22/2023	10/02/2023
XYLO CONSULTING LLC	QA ENGINEER	75,000	BOCA RATON, FL	06/26/2023	07/10/2023
TELNET INC	QA ENGINEER	75,000	PLANO, TX	01/31/2023	01/31/2023
SAPPHIRE SOFTWARE SOLUTIONS INC	QA ENGINEER	75,000	FRISCO, TX	02/06/2023	02/14/2023
ZENTEST SOFTWARE LLC	QA ENGINEER	75,000	KANSAS CITY, MO	06/08/2023	10/01/2023
SAPPHIRE SOFTWARE SOLUTIONS INC	QA ENGINEER	75,000	BOCA RATON, FL	06/12/2023	07/01/2023
SAPPHIRE SOFTWARE SOLUTIONS INC	QA ENGINEER	75,000	BOCA RATON, FL	06/12/2023	07/01/2023
CLOUD ANALYTIX INC	QA ENGINEER	75,000	IRVING, TX	06/17/2023	10/01/2023
RISAMSOFT INC	QA ENGINEER	75,000	IRVING, TX	08/28/2023	08/28/2023
R CUBE CREATIVE CONSULTING INC	QA ENGINEER	75,234	JONESTOWN, TX	06/13/2023	10/01/2023
R CUBE CREATIVE CONSULTING INC	QA ENGINEER	75,234	JONESTOWN, TX	06/13/2023	10/01/2023
MEGHAZ INC	QA ENGINEER	75,296	PINELLAS PARK, FL	09/05/2023	10/01/2023
IT RESOURCES INC	QA ENGINEER	75,296	PHILADELPHIA, PA	04/18/2023	10/01/2023
ECCLESIASTES INC	QA ENGINEER	75,296	GLEN MILLS, PA	06/17/2023	10/01/2023
SUNSOFT SERVICES INC	QA ENGINEER	75,566	JERSEY CITY, NJ	05/23/2023	10/01/2023
COMMIITT LLC	QA ENGINEER	75,566	EDISON, NJ	06/07/2023	10/01/2023
URJHA QUESTECH INC	QA ENGINEER	75,566	PARSIPPANY, NJ	06/19/2023	10/01/2023
ADVANITY TECHNOLOGIES LLC	QA ENGINEER	75,795	HOUSTON, TX	03/27/2023	04/07/2023
UPWARD SYSTEMS INC	QA ENGINEER	75,795	HOUSTON, TX	03/30/2023	04/10/2023
MINUSCULE TECHNOLOGIES LLC	QA ENGINEER	75,795	KATY, TX	05/29/2023	10/01/2023
MINUSCULE TECHNOLOGIES LLC	QA ENGINEER	75,795	KATY, TX	06/09/2023	10/01/2023
KGATE TECHNOLOGIES INC	QA ENGINEER	75,795	HOUSTON, TX	06/14/2023	06/22/2023
BVKSTEK LLC	QA ENGINEER	76,000	TAMPA, FL	09/18/2023	10/01/2023
TECH-APEX SOLUTIONS INC	QA ENGINEER	76,000	IRVING, TX	04/18/2023	10/01/2023
BYTE LINK SYSTEMS INC	QA ENGINEER	76,000	CONROE, TX	04/13/2023	04/24/2023
TECH-APEX SOLUTIONS INC	QA ENGINEER	76,000	IRVING, TX	04/18/2023	10/01/2023
COLLABORATE SOLUTIONS INC	QA ENGINEER	76,149	DUBLIN, OH	05/10/2023	05/09/2023
STRATEGIC SYSTEMS INC	QA ENGINEER	76,149	DUBLIN, OH	05/16/2023	10/01/2023
STRATEGIC SYSTEMS INC	QA ENGINEER	76,149	DUBLIN, OH	05/25/2023	10/01/2023
STRATEGIC SYSTEMS INC	QA ENGINEER	76,149	DUBLIN, OH	05/25/2023	10/01/2023
HONEYSYS LLC	QA ENGINEER	76,398	HENRICO, VA	05/05/2023	10/01/2023
COLLABORATE SOLUTIONS INC	QA ENGINEER	76,752	MESA, AZ	09/01/2023	09/11/2023
HUMETIS TECHNOLOGIES INC	QA ENGINEER	76,898	ROCHESTER, NY	09/12/2023	01/31/2024
SAIBERSYS INC	QA ENGINEER	76,900	ROCHESTER, NY	07/11/2023	10/01/2023
ALLEN TECHNOLOGIES INC	QA ENGINEER	78,000	AUSTIN, TX	02/06/2023	04/25/2023
INFYSHINE INC	QA ENGINEER	78,000	GRAND RAPIDS, MI	07/21/2023	08/14/2023
DIVVYSOFT LLC	QA ENGINEER	78,600	REDMOND, WA	05/09/2023	05/15/2023
ITG TECHNOLOGIES INC	QA ENGINEER	78,957	HOUSTON, TX	04/05/2023	04/12/2023
OPTIVENT GROUP INC	QA ENGINEER	78,957	CHICAGO, IL	04/14/2023	07/13/2023
TECH ABSTRACTOR LLC	QA ENGINEER	78,957	CHICAGO, IL	05/02/2023	05/08/2023
OPTIVENT GROUP INC	QA ENGINEER	78,957	CHICAGO, IL	05/23/2023	05/24/2023
THRIVESOFTWARE SOLUTIONS INC	QA ENGINEER	78,957	HAWTHORN WOODS, IL	06/09/2023	10/01/2023
KAVURI SOLUTIONS INC	QA ENGINEER	78,957	PROSPECT HEIGHTS, IL	06/13/2023	10/01/2023
SUNMOBITECH LLC	QA ENGINEER	80,000	BLOOMINGTON, IL	09/18/2023	10/01/2023
BANKERS HEALTHCARE GROUP LLC	QA ENGINEER	80,000	SAINT PETERSBURG, FL	08/16/2023	10/01/2023
BANKERS HEALTHCARE GROUP LLC	QA ENGINEER	80,000	DORCHESTER, MA	04/04/2023	10/01/2023
SUPREME GOLF INC	QA ENGINEER	80,000	LEWISVILLE, TX	04/27/2023	05/25/2023
ZILLION TECHNOLOGIES INC	QA ENGINEER	80,000	WAUKEE, IA	01/11/2023	03/16/2023
MOXIE IT SOLUTIONS	QA ENGINEER	80,000	ST. LOUIS, MO	07/07/2023	10/05/2023
TECHDRUPLE INC	QA ENGINEER	80,000	HOUSTON, TX	01/19/2023	02/01/2023
SYMPHONY CORPORATION	QA ENGINEER	80,000	MADISON, WI	05/05/2023	10/01/2023
INFYSHINE INC	QA ENGINEER	80,000	MILFORD, OH	06/08/2023	10/01/2023
3I INFOTECH INC	QA ENGINEER	80,000	COSTA MESA, CA	06/13/2023	09/30/2023
SAPPHIRE SOFTWARE SOLUTIONS INC	QA ENGINEER	80,000	CHICAGO, IL	06/21/2023	10/01/2023
INTELLISOFT SYSTEMS LLC	QA ENGINEER	80,000	MELBOURNE, FL	08/23/2023	10/01/2023
BANKERS HEALTHCARE GROUP LLC	QA ENGINEER	80,000	ST. PETERSBURG, FL	08/22/2023	10/01/2023
MIRAI SOLUTIONS INC	QA ENGINEER	80,059	CUMMING, GA	04/09/2023	04/09/2023
KR ELIXIR INC	QA ENGINEER	80,059	ALPHARETTA, GA	05/31/2023	10/01/2023
KR ELIXIR INC	QA ENGINEER	80,059	ALPHARETTA, GA	05/31/2023	10/01/2023
SV TECH INC	QA ENGINEER	80,059	ALPHARETTA, GA	05/31/2023	10/01/2023
MIRAI SOLUTIONS INC	QA ENGINEER	80,059	7615 ANSLEY VIEW LN, GA	05/31/2023	06/01/2023
UNITED FORTUNE IT SOLUTIONS	QA ENGINEER	80,060	NAPERVILLE, IL	05/05/2023	10/01/2023
GLAD POWER LLC	QA ENGINEER	80,060	LAWRENCEVILLE, GA	06/06/2023	10/01/2023
GLAD POWER LLC	QA ENGINEER	80,060	LAWRENCEVILLE, GA	06/06/2023	10/01/2023
GLAD POWER LLC	QA ENGINEER	80,060	LAWRENCEVILLE, GA	06/06/2023	10/01/2023
GLAD POWER LLC	QA ENGINEER	80,060	LAWRENCEVILLE, GA	06/06/2023	10/01/2023
GLAD POWER LLC	QA ENGINEER	80,060	LAWRENCEVILLE, GA	06/06/2023	10/01/2023
GLAD POWER LLC	QA ENGINEER	80,060	LAWRENCEVILLE, GA	06/06/2023	10/01/2023
GLAD POWER LLC	QA ENGINEER	80,060	LAWRENCEVILLE, GA	06/06/2023	10/01/2023
GLAD POWER LLC	QA ENGINEER	80,060	LAWRENCEVILLE, GA	06/06/2023	10/01/2023
GLAD POWER LLC	QA ENGINEER	80,060	LAWRENCEVILLE, GA	06/06/2023	10/01/2023
GLAD POWER LLC	QA ENGINEER	80,060	LAWRENCEVILLE, GA	06/10/2023	10/01/2023
GLAD POWER LLC	QA ENGINEER	80,060	LAWRENCEVILLE, GA	06/14/2023	10/01/2023
GLAD POWER LLC	QA ENGINEER	80,060	LAWRENCEVILLE, GA	06/14/2023	10/01/2023
GLAD POWER LLC	QA ENGINEER	80,060	LAWRENCEVILLE, GA	06/14/2023	10/01/2023
GLAD POWER LLC	QA ENGINEER	80,060	LAWRENCEVILLE, GA	06/14/2023	10/01/2023
GLAD POWER LLC	QA ENGINEER	80,060	LAWRENCEVILLE, GA	06/14/2023	10/01/2023
GLAD POWER LLC	QA ENGINEER	80,060	LAWRENCEVILLE, GA	06/15/2023	10/01/2023
UNICORN TECHNOLOGIESLLC	QA ENGINEER	80,100	ALPHARETTA, GA	05/22/2023	10/01/2023
UNICORN TECHNOLOGIESLLC	QA ENGINEER	80,100	ALPHARETTA, GA	06/01/2023	10/01/2023
TRIPHI TECHNOLOGIES LLC	QA ENGINEER	80,850	IRVING, TX	06/21/2023	10/01/2023
XYLO CONSULTING LLC	QA ENGINEER	81,000	MOUNT LAUREL, NJ	09/13/2023	09/25/2023
TECHGATE INC	QA ENGINEER	81,000	MONROVIA, CA	04/30/2023	10/01/2023
TECH GATE INC	QA ENGINEER	81,000	MONROVIA, CA	05/05/2023	10/01/2023
TECH GATE INC	QA ENGINEER	81,000	MONROVIA, CA	05/05/2023	10/01/2023
TECH GATE INC	QA ENGINEER	81,000	MONROVIA, CA	05/06/2023	10/01/2023
RESPONSE INFORMATICS INC	QA ENGINEER	81,078	PRINCETON, NJ	06/13/2023	10/01/2023
MEGHAZ INC	QA ENGINEER	81,099	HOUSTON, TX	09/05/2023	10/01/2023
NAGARRO INC	QA ENGINEER	81,141	GREENSBORO, NC	02/17/2023	02/23/2023
LOGIC LOOPS LLC	QA ENGINEER	81,328	HASLET, TX	09/11/2023	09/25/2023
IT CRATS INC	QA ENGINEER	81,328	PLANO, TX	08/28/2023	09/05/2023
AMENSYS INC	QA ENGINEER	81,400	IRVING, TX	08/07/2023	08/10/2023
AMERICAN TECH VISION SOLUTIONS LLC	QA ENGINEER	81,500	PLANO, TX	07/12/2023	07/24/2023
BYTE LINK SYSTEMS INC	QA ENGINEER	81,500	CONROE, TX	07/18/2023	07/18/2023
TSQS INC	QA ENGINEER	82,000	OVERLAND PARK, KS	08/31/2023	09/05/2023
INFOWAVE SYSTEMS INC	QA ENGINEER	82,000	SANFORD, FL	03/15/2023	03/15/2023
N2FORCE TECHNOLOGIES INC	QA ENGINEER	82,056	RICHARDSON, TX	09/18/2023	09/25/2023
SAI GLOBAL SOLUTIONS INC	QA ENGINEER	82,056	DALLAS, TX	09/01/2023	09/01/2023
UNITED FORTUNE IT SOLUTIONS	QA ENGINEER	82,150	AURORA, IL	05/16/2023	05/17/2023
ORION SYSTEMS INTEGRATORS LLC	QA ENGINEER	82,202	CHICAGO, IL	08/11/2023	10/01/2023
ASOFT CONSULTING LLC	QA ENGINEER	82,202	CHICAGO, IL	07/10/2023	07/17/2023
MARC CONSULTING LLC	QA ENGINEER	82,826	NORWALK, CT	06/09/2023	10/01/2023
LOGIC LOOPS LLC	QA ENGINEER	83,262	JOHNSTON, RI	05/23/2023	10/01/2023
CONCOR IT SOLUTIONS INC	QA ENGINEER	83,845	CHARLOTTE, NC	06/19/2023	10/01/2023
EDGE CLOUD TECHNOLOGIES INC	QA ENGINEER	83,928	BOTHELL, WA	02/11/2023	02/15/2023
INFYSHINE INC	QA ENGINEER	84,000	PAWTUCKET, RI	06/14/2023	10/01/2023
CYBERSTARS LLC	QA ENGINEER	84,000	PRINCETON, NJ	06/16/2023	10/01/2023
CYBERSTARS LLC	QA ENGINEER	84,000	PRINCETON, NJ	06/16/2023	10/01/2023
AKRA SOLUTIONS LLC	QA ENGINEER	84,032	DURHAM, NC	06/12/2023	10/01/2023
MOODY'S ANALYTICS INC	QA ENGINEER	84,657	OMAHA, NE	06/09/2023	10/01/2023
AVCO CONSULTING INC	QA ENGINEER	84,739	CHARLOTTESVILLE, VA	04/13/2023	04/24/2023
DECISION SIX INC	QA ENGINEER	85,000	MIAMI, FL	08/11/2023	10/01/2023
SAPPHIRUS SYSTEMS LLC	QA ENGINEER	85,000	PEACHTREE CORNERS, GA	04/12/2023	10/01/2023
ZENSOFT IT SOLUTIONS INC	QA ENGINEER	85,000	MEDIA, PA	06/30/2023	07/17/2023
CIGNITI TECHNOLOGIES INC	QA ENGINEER	85,000	DALLAS, TX	01/03/2023	05/28/2023
FIRST GENIX LLC	QA ENGINEER	85,000	IRVING, TX	05/05/2023	10/01/2023
FIRST GENIX LLC	QA ENGINEER	85,000	IRVING, TX	05/20/2023	10/01/2023
SAPPHIRUS SYSTEMS LLC	QA ENGINEER	85,000	PEACHTREE CORNERS, GA	06/04/2023	10/01/2023
DECISION SIX INC	QA ENGINEER	85,000	MALVERN, PA	08/21/2023	10/01/2023
KR ELIXIR INC	QA ENGINEER	85,925	ALPHARETTA, GA	08/30/2023	10/01/2023
XL SOFTEK INC	QA ENGINEER	85,925	ALPHARETTA, GA	07/14/2023	07/24/2023
COMMIITT LLC	QA ENGINEER	85,925	ACWORTH, GA	07/27/2023	08/04/2023
SV TECH INC	QA ENGINEER	85,925	ALPHARETTA, GA	08/30/2023	10/01/2023
KR ELIXIR INC	QA ENGINEER	85,925	ALPHARETTA, GA	08/30/2023	10/01/2023
KR ELIXIR INC	QA ENGINEER	85,925	ALPHARETTA, GA	08/30/2023	10/01/2023
XYLO CONSULTING LLC	QA ENGINEER	86,000	ALPHARETTA, GA	07/03/2023	07/17/2023
SIGMASOFT LLC	QA ENGINEER	86,611	MANASSAS, VA	05/16/2023	10/01/2023
TECHNOLOGY HUB INC	QA ENGINEER	86,611	STERLING, VA	05/23/2023	10/01/2023
VALUEPRO INC	QA ENGINEER	86,611	FREDERICK, MD	06/12/2023	10/01/2023
VALUEPRO INC	QA ENGINEER	86,611	FREDERICK, MD	06/12/2023	10/01/2023
VALUEPRO INC	QA ENGINEER	86,611	FREDERICK, MD	06/12/2023	10/01/2023
STRATEZ INFOTECH INC	QA ENGINEER	86,620	DULLES, VA	04/12/2023	10/01/2023
STRATEZ INFOTECH INC	QA ENGINEER	86,620	DULLES, VA	06/05/2023	10/01/2023
ZENITH SOFTWARE SOLUTIONS INC	QA ENGINEER	86,620	DUBLIN, OH	06/14/2023	10/01/2023
CYBER INFOTECH LLC	QA ENGINEER	87,000	GAITHERSBURG, MD	05/04/2023	10/01/2023
NIHA TECHNOLOGIES INC	QA ENGINEER	87,000	HERNDON, VA	06/15/2023	10/01/2023
AMENSYS INC	QA ENGINEER	87,360	FRISCO, TX	06/07/2023	06/07/2023
ACADIA TECHNOLOGIES INC	QA ENGINEER	87,485	PHOENIX,, AZ	01/04/2023	01/16/2023
